id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011300264;1;MO;M;24;SI;X;BR;5
D011300264;2;CM;M;47;SI;X;BR;7
D011300265;1;MO;M;21;SI;X;BR;6
D011300265;2;MO;X;SI;SI;X;BR;8
D011300266;1;AU;M;37;SI;X;BR;5
D011300267;1;MO;X;SI;SI;X;BR;8
D011300268;1;MO;F;31;SI;X;BR;6
D011300269;1;MO;M;36;HA;X;BR;3
D011300269;2;CM;M;53;HA;X;BR;3
D011300270;1;MO;M;26;SI;X;BR;5
D011300270;2;AU;M;26;SI;X;BR;3
D011300270;3;AU;M;57;SI;X;BR;7
D011300270;4;AU;M;56;SI;X;BR;7
D011300271;1;AU;M;44;SI;X;BR;7
D011300271;2;CM;F;26;SI;X;BR;7
D011300272;1;MO;M;40;SI;X;BR;3
D011300272;2;AU;F;37;SI;X;BR;7
D011300273;1;MO;M;30;SI;X;BR;5
D011300273;2;CM;M;26;SI;X;BR;7
D011300274;1;MO;M;40;SI;X;BR;7
D011300274;2;MO;M;SI;SI;X;BR;8
D011300275;1;MO;M;44;SI;X;BR;3
D011300275;2;AU;M;48;SI;X;BR;6
D011300276;1;AU;M;38;SI;X;BR;7
D011300277;1;MO;M;52;SI;X;BR;8
D011300277;2;AU;M;33;SI;X;BR;5
D011300278;1;AU;M;64;SI;X;BR;8
D011300279;1;AU;F;44;SI;X;BR;7
D011300279;2;AU;F;SI;SI;X;BR;8
D011300280;1;MO;M;40;HA;X;BR;5
D011300280;2;CM;F;48;HA;X;BR;7
D011300281;1;MO;M;22;SI;X;BR;3
D011300281;2;OU;M;SI;SI;X;BR;8
D011300282;1;MO;M;26;SI;X;BR;3
D011300282;2;MO;M;29;IN;X;BR;3
D011300283;1;MO;M;27;IN;X;BR;5
D011300283;2;AU;M;51;SI;X;BR;3
D011300284;1;MO;F;25;SI;X;BR;5
D011300284;2;CM;M;65;SI;X;BR;2
D011300285;1;MO;F;SI;SI;X;BR;8
D011300286;1;MO;M;48;SI;X;BR;5
D011300286;2;AU;M;42;SI;X;BR;6
D011300287;1;MO;M;29;SI;X;BR;7
D011300287;2;AU;X;SI;SI;X;BR;8
D011300288;1;MO;M;31;SI;X;BR;2
D011300288;2;AU;M;63;SI;X;BR;5
D011300289;1;MO;M;35;SI;X;BR;2
D011300289;2;AU;F;55;SI;X;BR;5
D011300290;1;MO;M;22;SI;X;BR;5
D011300290;2;AU;M;28;SI;X;BR;7
D011300291;1;MO;M;SI;SI;X;BR;8
D011300291;2;AU;X;SI;SI;X;BR;8
D011300292;1;MO;M;37;SI;X;BR;5
D011300292;2;CM;M;28;SI;X;BR;3
D011300293;1;MO;M;29;SI;X;BR;3
D011300293;2;AU;F;27;SI;X;BR;3
D011300294;1;MO;M;36;SI;X;BR;7
D011300294;2;AU;M;45;SI;X;BR;6
D011300295;1;MO;M;25;SI;X;BR;5
D011300295;2;AU;X;SI;SI;X;BR;8
D011300296;1;AU;F;25;SI;X;BR;5
D011300297;1;OU;M;33;HA;X;BR;5
D011300298;1;MO;M;25;SI;X;BR;5
D011300298;2;AU;M;57;SI;X;BR;3
D011300299;1;MO;F;23;SI;X;BR;5
D011300299;2;AU;M;SI;SI;X;BR;8
D011300300;1;MO;M;20;SI;X;BR;8
D011300300;2;CM;M;35;SI;X;BR;5
D011300301;1;MO;M;44;SI;X;BR;5
D011300301;2;AU;M;60;SI;X;BR;5
D011300302;1;MO;M;19;SI;X;BR;3
D011300302;2;AU;M;26;SI;X;BR;6
