id_acidente;id_vitima;id_veiculo;sexo;idade;tipo_vitima;classificacao;tipo_veiculo;estado_alcoolizacao;escolaridade;data_obito
D011300195;1;2;M;41;CD;F;MO;BR;5;          
D011300196;1;2;F;17;PS;F;AU;BR;8;          
D011300196;2;2;F;52;PS;F;AU;BR;8;          
D011300197;1;2;M;34;CD;F;MO;BR;8;          
D011300198;1;1;F;50;PD;F;AU;BR;8;          
D011300199;1;1;M;45;PD;F;SI;BR;8;          
D011300200;1;1;F;47;PD;F;MO;BR;8;          
D011300201;1;1;F;32;PD;F;OU;BR;3;          
D011300202;1;1;F;21;PD;F;AU;BR;3;          
D011300203;1;1;M;18;CD;F;MO;BR;5;          
D011300204;1;1;M;49;CD;F;MO;BR;7;          
D011300205;1;1;M;29;CD;F;MO;BR;5;          
D011300206;1;1;F;23;PS;F;OU;BR;8;          
D011300207;1;1;M;58;CD;F;AU;BR;3;          
D011300208;1;1;M;21;CD;F;AU;BR;6;          
D011300209;1;1;M;27;CD;F;AU;BR;5;          
D011300210;1;1;M;30;CD;F;MO;BR;7;          
D011300211;1;1;M;SI;CD;F;MO;BR;8;          
D011300212;1;1;M;31;PD;F;AU;BR;7;          
D011300213;1;1;M;23;CD;F;MO;BR;5;          
D011300214;1;1;M;25;CD;F;CM;BR;3;          
D011300214;2;1;M;31;PS;F;CM;BR;3;          
D011300215;1;2;M;40;CD;F;MO;BR;5;          
D011300216;1;1;M;33;CD;F;AU;BR;7;          
D011300217;1;1;F;47;PD;F;ON;BR;5;          
D011300218;1;1;M;34;CD;F;MO;BR;3;          
D011300219;1;1;M;3;PD;F;OU;BR;8;          
D011300220;1;1;M;32;CD;F;AU;BR;5;          
D011300221;1;1;M;29;CD;F;MO;BR;6;          
D011300222;1;1;F;67;PS;F;AU;BR;5;          
D011300222;2;2;M;20;PS;F;AU;BR;5;          
D011300223;1;1;M;28;CD;F;MO;BR;3;          
D011300223;2;1;M;18;PS;F;MO;BR;3;          
D011300225;1;1;M;34;PD;F;CM;BR;3;          
D011300226;1;1;F;38;PD;F;SI;BR;3;          
D011300227;1;2;M;31;CD;F;MO;BR;3;          
D011300228;1;2;M;28;CD;F;MO;BR;3;          
D011300229;1;2;M;30;CD;F;BI;BR;5;          
D011300230;1;2;M;SI;CD;F;MO;BR;8;          
D011300231;1;1;F;72;PD;F;MO;BR;3;          
D011300232;1;2;M;50;CD;F;MO;BR;5;          
D011300234;1;2;M;51;CD;F;BI;BR;3;          
D011300235;1;2;M;25;CD;F;MO;BR;3;          
D011300236;1;2;M;25;CD;F;MO;BR;5;          
D011300238;1;1;M;56;PS;F;AU;BR;3;          
D011300239;1;1;M;17;PD;F;MO;BR;3;          
D011300240;1;1;M;29;CD;F;MO;BR;5;          
D011300241;1;1;M;24;CD;F;CM;BR;5;          
D011300241;2;1;F;19;PS;F;CM;BR;5;          
D011300241;3;1;M;27;PS;F;CM;BR;5;          
D011300242;1;1;M;28;CD;F;MO;BR;5;          
D011300242;2;1;M;82;PD;F;MO;BR;5;          
D011300243;1;1;M;8;PD;F;AU;BR;1;          
D011300244;1;1;M;24;CD;F;MO;BR;5;          
D011300245;1;1;M;22;CD;F;MO;BR;3;          
D011300246;1;1;F;66;PD;F;AU;BR;8;          
D011300247;1;1;M;34;CD;F;MO;BR;5;          
D011300249;1;1;M;28;CD;F;MO;BR;3;          
D011300251;1;1;F;35;CD;F;AU;BR;7;          
D011300252;1;1;M;19;CD;F;AU;BR;3;          
D011300252;2;1;F;41;PS;F;AU;BR;2;          
D011300253;1;1;M;30;CD;F;MO;BR;5;          
D011300254;1;1;M;24;CD;F;MO;BR;2;          
D011300255;1;1;F;45;PD;F;MO;BR;5;          
D011300256;1;1;M;19;CD;F;MO;BR;5;          
D011300257;1;1;M;37;CD;F;MO;BR;7;          
D011300257;2;1;F;34;PS;F;MO;BR;7;          
D011300258;1;1;M;64;PD;F;MO;BR;7;          
D011300259;1;1;F;62;CD;F;AU;BR;7;          
D011300260;1;1;M;23;CD;F;MO;BR;5;          
D011300260;2;1;F;25;PS;F;MO;BR;8;          
D011300261;1;1;F;32;PD;F;OU;BR;5;          
D011300262;1;1;M;35;CD;F;MO;BR;3;          
D011300263;1;2;F;30;CD;F;BI;BR;7;          
D011300264;1;1;M;24;CD;F;MO;BR;5;          
D011300265;1;1;M;21;CD;F;MO;BR;6;          
D011300266;1;1;M;33;PD;F;AU;BR;7;          
D011300267;1;1;M;15;PS;F;MO;BR;3;          
D011300268;1;1;M;62;PD;F;MO;BR;3;          
D011300269;1;1;M;36;CD;F;MO;BR;3;          
D011300270;1;1;M;26;CD;F;MO;BR;5;          
