Groups, Gene1, Gene2, Sigmma_diag, C, gamma, errors
braca1_x_not_braca1, 2708, 756, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 267, 585, 0.1, 63.095734448, 0.01, 0.175454545455
braca1_x_braca2, 1606, 1504, 0.1, 3.98107170553, 10.0, 0.202666666667
braca1_x_not_braca1, 2752, 2360, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 428, 471, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2262, 901, 0.1, 3.98107170553, 0.1, 0.333333333333
braca1_x_not_braca1, 1476, 2705, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2231, 2192, 0.1, 3.98107170553, 10.0, 0.281818181818
braca1_x_braca2, 2185, 468, 0.1, 63.095734448, 100.0, 0.44
braca1_x_not_braca1, 656, 1647, 0.1, 63.095734448, 0.1, 0.232727272727
braca2_x_not_braca2, 3028, 1884, 0.1, 3.98107170553, 10.0, 0.319090909091
braca1_x_braca2, 3077, 630, 0.1, 3.98107170553, 0.1, 0.350666666667
braca1_x_not_braca1, 2250, 440, 0.1, 1000.0, 0.1, 0.22
braca2_x_not_braca2, 912, 2604, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 376, 1232, 0.1, 1000.0, 0.01, 0.297333333333
braca1_x_not_braca1, 2281, 151, 0.1, 3.98107170553, 100.0, 0.318181818182
braca2_x_not_braca2, 2990, 549, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2833, 2591, 0.1, 3.98107170553, 0.1, 0.393333333333
braca1_x_not_braca1, 438, 2771, 0.1, 63.095734448, 0.1, 0.142727272727
braca2_x_not_braca2, 2132, 1757, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1564, 2387, 0.1, 3.98107170553, 10.0, 0.408
braca1_x_not_braca1, 599, 94, 0.1, 1000.0, 0.01, 0.258181818182
braca2_x_not_braca2, 693, 1131, 0.1, 3.98107170553, 100.0, 0.314545454545
braca1_x_braca2, 504, 1066, 0.1, 63.095734448, 1.0, 0.381333333333
