gene1,gene2,margin,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17
1619.0,2163.0,1.5087702815344393,-0.7154343545569848,1.115940661203825,-1.8177518093223786,1.549675372795247e-11,1.548798943530722e-11,1.548793533060126e-11,1.5487966550536252e-11,1.54899293535077e-11,1.5488895887781575e-11,1.5488033133368047e-11,1.5488955861310408e-11,1.54883866865961e-11,1.5487249536144893e-11,1.548860863667041e-11,1.5487984679230044e-11,1.5487975513854203e-11,1.5488243021645627e-11,1.549801127830716e-11
421.0,3154.0,1.5047787178782175,1.006202612931247,0.8683666560518332,-4.678015169769723,6.722431462611761e-13,6.722454768506816e-13,6.722437501120706e-13,6.722449565613012e-13,6.728249609041792e-13,6.722432223971803e-13,6.722432871542812e-13,6.727049855073306e-13,6.723644628621891e-13,6.722452453506809e-13,6.722443307615699e-13,6.722430253422857e-13,6.722431358295239e-13,6.722430908584023e-13,6.722433087856487e-13
2869.0,2892.0,1.4868058446034682,0.43144086526816244,-1.2740993421271118,1.4977741316225375,1.1582025830796942e-11,1.1582173471653068e-11,1.1588671628452924e-11,1.1581980651877679e-11,1.1585101336298542e-11,1.158200755704938e-11,1.1582040998725944e-11,1.1582942928127284e-11,1.1582288606526723e-11,1.1581997400688624e-11,1.1582056949848988e-11,1.1582037609628422e-11,1.1590652694100329e-11,1.1581998995812344e-11,1.1582002587646458e-11
749.0,1962.0,1.4803321078788352,1.1382880165016356,-0.7277579102317816,-1.916788390087957,4.4091397838798156e-12,4.408289537240911e-12,4.408286171999226e-12,4.408257727587456e-12,4.410901159720263e-12,4.408289601015657e-12,4.408327518875003e-12,4.408101740958714e-12,4.408246474772329e-12,4.408346210085732e-12,4.408315996808192e-12,4.408248651648451e-12,4.4082559185121265e-12,4.4082979309226905e-12,4.411914098108423e-12
1019.0,3153.0,1.476575797107664,0.9199541291626507,0.9941400505437721,-6.078137056550026,1.1954335988807539e-12,1.1961778532500785e-12,1.1954306626229477e-12,1.1954362599619626e-12,1.1955437472581622e-12,1.1954692624577859e-12,1.1954300691338862e-12,1.195469723001035e-12,1.1955109105247583e-12,1.1959048482565482e-12,1.195447896542649e-12,1.195429943678272e-12,1.1954324553861459e-12,1.1957240125869165e-12,1.1954261140276641e-12
1067.0,1481.0,1.4741098902592387,-1.095241572249483,-0.800761543633281,3.6584361933208736,3.4312322880352446e-12,3.43405749846624e-12,3.431239818193973e-12,3.4312826440959824e-12,3.4312352724737366e-12,3.431386573824516e-12,3.43123914746139e-12,3.4313452513377974e-12,3.4349569423623587e-12,3.4312746451246286e-12,3.4313462217142308e-12,3.4312603920010846e-12,3.430162934469852e-12,3.431265438205193e-12,3.431294631023718e-12
547.0,3064.0,1.4738377448368303,0.759384385152676,1.1246281031629362,-7.002301846222026,1.4785315019841812e-11,1.477234095928841e-11,1.4772326828566143e-11,1.4772340407003077e-11,1.477238571093332e-11,1.4772528962488494e-11,1.4772392646182666e-11,1.4782377540564852e-11,1.4772315011780722e-11,1.4772327180751317e-11,1.477231741489612e-11,1.4772373176065585e-11,1.4780480785745163e-11,1.476741509842364e-11,1.4772319804310922e-11
537.0,1481.0,1.4686784285458652,-0.6987881898284805,-1.1688064318373832,3.457353559850544,8.938949824932547e-13,8.939074475126436e-13,8.939144823339852e-13,8.944837027252594e-13,8.938948842148533e-13,8.940444732383564e-13,8.93895901826841e-13,8.939104401207073e-13,8.939367463482713e-13,8.939146771479054e-13,8.939234022505705e-13,8.939242226931119e-13,8.93900706284197e-13,8.94514451036079e-13,8.93904628132873e-13
1287.0,2279.0,1.4467681089976923,-1.2862175452340265,0.506607152773179,1.0706396177505284,3.7949557396729087e-13,3.792030987143788e-13,3.792037704103492e-13,3.792031396237915e-13,3.7920319483949326e-13,3.792646483229656e-13,3.792030432771865e-13,3.792051677246238e-13,3.792140006982776e-13,3.792319844272447e-13,3.792039580838266e-13,3.7920359351304476e-13,3.792041851140212e-13,3.7951275957253576e-13,3.7920386658779577e-13
342.0,1619.0,1.4331220452068896,1.1521871906443928,-0.7874244074676039,-1.4047130565516979,1.3140768385661635e-11,1.3140692107838171e-11,1.3140770006970584e-11,1.3140675257606817e-11,1.3145496731457552e-11,1.3147506855077895e-11,1.314079148087583e-11,1.3154101408865977e-11,1.3143082491979707e-11,1.3141024132325313e-11,1.314093366433011e-11,1.3140684594502073e-11,1.3136174994942451e-11,1.3140688341177987e-11,1.3140679017824919e-11
